Date,"it.wikipedia.org"
2020-01-01,3383007
2020-01-02,4884442
2020-01-03,4889102
2020-01-04,4173125
2020-01-05,4321151
2020-01-06,4743242
2020-01-07,6359405
2020-01-08,5850326
2020-01-09,6102386
2020-01-10,5711809
2020-01-11,4110101
2020-01-12,4859996
2020-01-13,6318325
2020-01-14,6923876
2020-01-15,6147262
2020-01-16,5752838
2020-01-17,5420475
2020-01-18,4476021
2020-01-19,4672032
2020-01-20,6270701
2020-01-21,5978303
2020-01-22,5877916
2020-01-23,5838747
2020-01-24,5223248
2020-01-25,4236978
2020-01-26,4224396
2020-01-27,5999475
2020-01-28,5938367
2020-01-29,5768007
2020-01-30,5647899
2020-01-31,5489656
2020-02-01,4185553
2020-02-02,4528593
2020-02-03,5956908
2020-02-04,6109838
2020-02-05,6171490
2020-02-06,5765313
2020-02-07,5404472
2020-02-08,4021885
2020-02-09,4611015
2020-02-10,6365513
2020-02-11,5946154
2020-02-12,5725197
2020-02-13,5430260
2020-02-14,4973607
2020-02-15,3890600
2020-02-16,4189052
2020-02-17,5572747
2020-02-18,5648932
2020-02-19,5586060
2020-02-20,5246397
2020-02-21,4654887
2020-02-22,3474595
2020-02-23,3563039
2020-02-24,4828588
2020-02-25,5223595
2020-02-26,5281474
2020-02-27,5194773
2020-02-28,4936275
2020-02-29,4129329
2020-03-01,4356475
2020-03-02,5591937
2020-03-03,5544042
2020-03-04,5146391
2020-03-05,5332754
2020-03-06,5126468
2020-03-07,4103863
2020-03-08,4051390
2020-03-09,5660468
2020-03-10,5579730
2020-03-11,6044274
2020-03-12,6293293
2020-03-13,6334880
2020-03-14,5847226
2020-03-15,6063783
2020-03-16,6730162
2020-03-17,6991097
2020-03-18,7162910
2020-03-19,6887886
2020-03-20,6925507
2020-03-21,6274122
2020-03-22,6802586
2020-03-23,7964881
2020-03-24,7894082
2020-03-25,8041407
2020-03-26,8027237
2020-03-27,8020231
2020-03-28,7049708
2020-03-29,7334132
2020-03-30,8366066
2020-03-31,8470846
2020-04-01,8391793
2020-04-02,8246725
2020-04-03,7669685
2020-04-04,7050655
2020-04-05,7215102
2020-04-06,8177311
2020-04-07,8027245
2020-04-08,8826902
2020-04-09,7457973
2020-04-10,6807746
2020-04-11,6375175
2020-04-12,5907300
2020-04-13,7191683
2020-04-14,8288683
2020-04-15,8399428
2020-04-16,8502028
2020-04-17,7772936
2020-04-18,6952173
2020-04-19,7296636
2020-04-20,8687175
2020-04-21,8556678
2020-04-22,8631291
2020-04-23,8120480
2020-04-24,7574339
2020-04-25,6928799
2020-04-26,7248961
2020-04-27,7965876
2020-04-28,8213320
2020-04-29,7839189
2020-04-30,6956684
2020-05-01,6454791
2020-05-02,6371472
2020-05-03,6475852
2020-05-04,6629918
2020-05-05,6963559
2020-05-06,7053214
2020-05-07,7084346
2020-05-08,6633922
2020-05-09,5604380
2020-05-10,5816075
2020-05-11,7662811
2020-05-12,7456749
2020-05-13,7552219
2020-05-14,7005624
2020-05-15,7033816
2020-05-16,5888457
2020-05-17,5774118
2020-05-18,7027578
2020-05-19,7265220
2020-05-20,7397690
2020-05-21,6945460
2020-05-22,6517457
2020-05-23,5179860
2020-05-24,5334411
2020-05-25,7267750
2020-05-26,7092462
2020-05-27,7033601
2020-05-28,6845597
2020-05-29,6456684
2020-05-30,4973014
2020-05-31,4918673
2020-06-01,5742984
2020-06-02,5236137
2020-06-03,6348677
2020-06-04,6479199
2020-06-05,5607387
2020-06-06,4212814
2020-06-07,4696818
2020-06-08,5863633
2020-06-09,5613591
2020-06-10,5450089
2020-06-11,5326205
2020-06-12,4666988
2020-06-13,3830123
2020-06-14,4161072
2020-06-15,5290911
2020-06-16,5196964
2020-06-17,4950158
2020-06-18,4807232
2020-06-19,4509593
2020-06-20,3406239
2020-06-21,3564025
2020-06-22,4742303
2020-06-23,4614654
2020-06-24,4353477
2020-06-25,4315733
2020-06-26,4000783
2020-06-27,3097013
2020-06-28,3217325
2020-06-29,4348639
2020-06-30,4372719
2020-07-01,4234509
2020-07-02,4213785
2020-07-03,4009883
2020-07-04,3080115
2020-07-05,3122286
2020-07-06,4557740
2020-07-07,4361066
2020-07-08,4285718
2020-07-09,4114437
2020-07-10,3842682
2020-07-11,3151600
2020-07-12,3240363
2020-07-13,4516029
2020-07-14,4337222
2020-07-15,4167895
2020-07-16,4042691
2020-07-17,3932219
2020-07-18,3008936
2020-07-19,3128671
2020-07-20,4343386
2020-07-21,4230625
2020-07-22,4016309
2020-07-23,3865666
2020-07-24,3722843
2020-07-25,2740733
2020-07-26,2891171
2020-07-27,4075050
